#
# Female Routing
#
LFSexytimesFemale1T;In The Bedroom;;;;;;;;;;;;;x
LFSexytimesFemale10MaleCompliedCowgirlR0nin;Our bodies are drenched in sweat and I've been riding him for what feels like an eternity. The sensation of his hands gliding over my breasts nearly sends me over the edge and I can tell he's not going to last much longer either. "Just a little longer..." I insist, slamming myself down upon his rigid length a few more times until I reach my peak, my inner walls relentlessly gripping and massaging his entire length as I ride out the most pleasurable orgasm I've had in a long time. "I'm going to cum!" He tells me, fingers digging into my hips. "Give it to me! Cum for your [lf_sex_player.GetTitle]!" I tell insist, wanting nothing more than to feel him erupt deep inside me. His hips rise as he buries his cock deep inside me and erupts with a growl of pleasure, holding me tightly against him as he fills my cunt with spurt after spurt. I can't help but delight in the sensation of his cock as it spasms deep inside me and nothing would please me more than to bear his children, I kiss him tenderly, keeping his cock buried deep inside me long after our climaxes have subsided.;;;;;;;;;;;;;x
LFSexytimesFemale10MaleRefusedCowgirlR0nin;Our bodies are drenched in sweat and I've been riding him for what feels like an eternity. The sensation of his hands gliding over my breasts nearly sends me over the edge and I can tell he's not going to last much longer either. "Just a little longer..." I insist, slamming myself down upon his rigid length a few more times until I reach my peak, my inner walls relentlessly gripping and massaging his entire length as I ride out the most pleasurable orgasm I've had in a long time. "I'm going to cum!" He tells me, fingers digging into my hips. "Wait! I want to see it!" I tell him, but his grip only tightens. His hips rise as he buries his cock deep inside me and erupts with a growl of pleasure, holding me tightly against him as he fills my cunt. Despite him not listening, I can't help but delight in the sensation of his cock as it spasms deep inside me and instead of being angry with him, I kiss him tenderly and tell him I hope he's ready for more.;;;;;;;;;;;;;x
#
#
LFSexytimesFemale10TTA;"Thank you, my love.";;;;;;;;;;;;;x
LFSexytimesFemale10TTB;"You are such an asshole, [lf_sex_partner.GetFirstName].";;;;;;;;;;;;;x
#
# Female Standard, Partner pulls out. Refused = You asked to be filled. Complied = You asked to pull out.
#
#
# Hedonist Doggy Style written by Jim Raynor on LL
LFSexytimesFemale11FutaRefusedDoggyJim;We fuck each other eagerly, aware of our imminent orgasms. [lf_sex_partner.GetFirstName] squeals as I slide two of my fingers into her so far neglected cunt, whispering sweetly about how she would love to fill me up to the brim. Even in the haze of passion I come to my senses for a bit.\n  “You can’t, my love,” I protest, “I can’t carry a child now! Think of the complexities!”\n  I feel her eagerness wane a little, her face a bit sad. I answer that by tightening my cunt, which brings her right back into the game. Pushing feverishly into my slit from below she whispers,\n  “But my lady! I must not waste my seed!”\n  “Well, I command you otherwise!” I smile, caressing my womb. She falls silent, the only sound echoing in the room of the flesh slapping flesh.\n  We keep on humping until I am about to climax. I feel my pussy shudder in an orgasm that wraps me around. Only when I come back to the world, I realize that [lf_sex_partner.GetFirstName] is still within me, her shaft spurting warm cum in my womb. I am upset but I am so tired I can only fall upon her sweaty breasts.\n  “I am sorry, my lady! I couldn't let us commit a grievous sin!” [lf_sex_partner.GetFirstName] whispers apologies in my ears as I turn away from her scornfully.;;;;;;;;;;;;;x
LFSexytimesFemale11MaleRefusedDoggyJim;We fuck each other eagerly, aware of our imminent orgasms. [lf_sex_partner.GetFirstName] whispers sweetly about how he would love to fill me up to the brim. Even in the haze of passion I come to my senses for a bit.\n  “You can’t, my love,” I protest, “I can’t carry a child now! Think of the complexities!”\n  I feel his eagerness wane a little, his face a bit sad. I answer that by tightening my cunt, which brings him right back into the game. Pushing feverishly into my slit from below he whispers,\n  ““But my lady! I must not waste my seed!”\n  “Well, I command you otherwise!” I smile, caressing my womb. He falls silent, the only sound echoing in the room of the flesh slapping flesh.\n  We keep on humping until I am about to climax. I feel my pussy shudder in an orgasm that wraps me around. Only when I come back to the world, I realize that [lf_sex_partner.GetFirstName] is still within me, his shaft spurting warm cum in my womb. I am upset but I am so tired I can only fall upon his sweaty chest.\n  “I am sorry, my lady! I couldn't let us commit a grievous sin!” [lf_sex_partner.GetFirstName] whispers apologies in my ears as I turn away from him scornfully.;;;;;;;;;;;;;x
LFSexytimesFemale11FutaRefusedDoggyJimHedonist;[lf_sex_partner.GetFirstName]’s grunts become desperate, and I know what is to come. With her thrusts becoming erratic and hasty, I manage to pull myself up from umpteenth orgasm.\n  “Not inside!” I squeal, “My love, don’t make me pregnant once again!”\n  She laughs, even as she is in between the thrusts, and slaps my bottom with enough gusto to bring tears to my eye.\n  “You are my queen, love,” she grins, “And mine to breed.”\n  As her speed reaches peak, she shows no sign of pulling out. As I take in her assault in a merry haze, I feel her bursting within me, and a warmth spreading in my deepest parts. She keeps coming, completely oblivious of my begging and crying, even as her cum starts to leak from my pussy. With a final grunt [lf_sex_partner.GetFirstName] falls on top of me, crushing her breasts on my sweaty back.\n  “I will breed you as many times as I want, my lady.” She says, planting a kiss on my cheek.;;;;;;;;;;;;;x
LFSexytimesFemale11MaleRefusedDoggyJimHedonist;[lf_sex_partner.GetFirstName]’s grunts become desperate, and I know what is to come. With his thrusts becoming erratic and hasty, I manage to pull myself up from umpteenth orgasm.\n  “Not inside!” I squeal, “My love, don’t make me pregnant once again!”\n  He laughs, even as he is in between the thrusts, and slaps my bottom with enough gusto to bring tears to my eye.\n  “You are my queen, love,” he grins, “And mine to breed.”\n  As his speed reaches peak, he shows no sign of pulling out. As I take in his assault in a merry haze, I feel him bursting within me, and a warmth spreading in my deepest parts. He keeps coming, completely oblivious of my begging and crying, even as his cum starts to leak from my pussy. With a final grunt [lf_sex_partner.GetFirstName] falls on top of me, crushing my breasts in a savage grip.\n  “I will breed you as many times as I want, my lady.” he says, planting a kiss on my cheek.\n  I lie in front of my beloved, eying her cock which slowly stands to attention. With a purr of satisfaction I nudge the tip of [lf_sex_partner.GetFirstName]’s meaty shaft, leading it to my eager snatch. I am surprised when she pulls back and asks me if I am willing to try something new.\n  “Mounting like a dog?” I can’t hide my surprise at the suggestion, but my feeble resistance is melted when my love starts to rub her taut nipples onto mine, whispering in my ear to get on all fours and turn my round bottom towards her.;;;;;;;;;;;;;x
LFSexytimesFemale11FutaCompliedCowgirlJim;We fuck each other eagerly, aware of our imminent orgasms. [lf_sex_partner.GetFirstName] squeals as I slide two of my fingers into her so far neglected cunt, whispering sweetly about how she would love to fill me up to the brim. Even in the haze of passion I come to my senses for a bit.\n  “You can’t, my love,” I protest, “I can’t carry a child now! Think of the complexities!”\n  I feel her eagerness wane a little, her face a bit sad. I answer that by tightening my cunt, which brings her right back into the game. Pushing feverishly into my slit from below she whispers,\n  “But my lady, I'd rather not waste my seed!”\n  “Well, I command otherwise!” I smile, caressing my womb.\n  We keep on humping until I am about to climax – whence [lf_sex_partner.GetFirstName] pulls out her shaft out of my cumming slit diligently, albeit unwillingly. She spurts her seed on my stomach with a squeal to match my own, where it lays glistening in moonlight.;;;;;;;;;;;;;x
LFSexytimesFemale11MaleCompliedCowgirlJim;We fuck each other eagerly, aware of our imminent orgasms. [lf_sex_partner.GetFirstName] whispers sweetly about how he would love to fill me up to the brim. Even in the haze of passion I come to my senses for a bit.\n  “You can’t, my love,” I protest, “I can’t carry a child now! Think of the complexities!”\n  I feel his eagerness wane a little, his face a bit sad. I answer that by tightening my cunt, which brings him right back into the game. Pushing feverishly into my slit from below he whispers,\n  “But my lady, I'd rather not waste my seed!”\n  “Well, I command otherwise!” I smile, caressing my womb.\n  We keep on humping until I am about to climax – whence [lf_sex_partner.GetFirstName] pulls out his shaft out of my cumming slit diligently, albeit unwillingly. He spurts his seed on my stomach with a squeal to match my own, where it lays glistening in moonlight.;;;;;;;;;;;;;x
LFSexytimesFemale11FutaCompliedDoggyJimHedonist;[lf_sex_partner.GetFirstName]’s grunts become desperate, and I know what is to come. With her thrusts becoming erratic and hasty, I manage to pull myself up from umpteenth orgasm.\n  “Not inside!” I squeal, “My love, don’t make me pregnant once again!”\n  She laughs, even as she is in between the thrusts, and slaps my bottom with enough gusto to bring tears to my eye.\n  “Very well, your sluttines,” [lf_sex_partner.GetFirstName] smirks, “I will spare you this time!”\n  With eager thrusts she leads on, driving me hotter and crazier as she pounds my hungry snatch mercilessly. I am afraid my hungry pussy might not let go of my lover’s shaft in time for her to finish outside, but she pulls out at the final moment, showering my bare back with her cum.\n  “Pearls fit for a queen!” She smiles and gets up to leave with a final slap upon my ass.;;;;;;;;;;;;;x
LFSexytimesFemale11MaleCompliedDoggyJimHedonist;[lf_sex_partner.GetFirstName]’s grunts become desperate, and I know what is to come. With his thrusts becoming erratic and hasty, I manage to pull myself up from umpteenth orgasm.\n  “Not inside!” I squeal, “My love, don’t make me pregnant once again!”\n  He laughs, even as he is in between the thrusts, and slaps my bottom with enough gusto to bring tears to my eye.\n  "Very well, your sluttines,” [lf_sex_partner.GetFirstName] smirks, “I will spare you this time!”\n  With eager thrusts he leads on, driving me hotter and crazier as he pounds my hungry snatch mercilessly. I am afraid my hungry pussy might not let go of my lover’s shaft in time for him to finish outside, but he pulls out at the final moment, showering my bare back with his cum.\n  “Pearls fit for a queen!” He smiles and gets up to leave with a final slap upon my ass.;;;;;;;;;;;;;x
#
# Doggy Style written by R0nin78 on LL
LFSexytimesFemale11MaleCompliedDoggyR0nin;He's still fucking me long after our bodies glisten in sweat, his cock sending me to new heights of pleasure with every passing moment until our bodies are practically crying out for release. "I'm going to cum!" He warns me, just as I feel his rigid length throb against the vice-like grip of my inner walls. The sensation sends me over the edge and my entire frame begins to shudder as my own orgasm washes over me like a tidal wave. "Give it to me!" I tell him. "Cum all over your [lf_sex_player.GetTitle]!" I moan, looking over my shoulder just in time to see him pull out and start stroking his hard cock. A growl of pleasure passes his lips as he erupts just seconds later, showering my ass and my lower back, and leaving me utterly drenched in his seed. We collapse together, his lips trailing tender kisses along my neck as he holds me close.;;;;;;;;;;;;;x
LFSexytimesFemale11MaleRefusedDoggyR0nin;He's still fucking me long after our bodies glisten in sweat, his cock sending me to new heights of pleasure with every passing moment until our bodies are practically crying out for release. "I'm going to cum!" He warns me, just as I feel his rigid length throb against the vice-like grip of my inner walls. The sensation sends me over the edge and my entire frame begins to shudder as my own orgasm washes over me like a tidal wave. "Give it to me!" I tell him. "Cum for your [lf_sex_player.GetTitle]!" I moan, looking over my shoulder just in time to see him pull out and start stroking his hard cock. A growl of pleasure passes his lips as he erupts just seconds later, showering my ass and my lower back, and leaving me utterly drenched in his seed. At first I'm furious, but when I feel his hand drift between my thighs and he begins massaging my swollen clit, I can't help but enjoy the attention and eagerly await another round.;;;;;;;;;;;;;x
#
# Cowgirl written by R0nin78 on LL
LFSexytimesFemale11MaleCompliedCowgirlR0nin;Our bodies are drenched in sweat and I've been riding him for what feels like an eternity. The sensation of his hands gliding over my breasts nearly sends me over the edge and I can tell he's not going to last much longer either. "Just a little longer..." I insist, slamming myself down upon his rigid length a few more times until I reach my peak, my inner walls relentlessly gripping and massaging his entire length as I ride out the most pleasurable orgasm I've had in a long time. "I'm going to cum!" He tells me, fingers digging into my hips. "Wait! I want to see it!" I tell him, climbing off him just in time to see his cock erupt. I take hold of his twitching length, pressing it against my cunt and delighting in the sensation of his cock as it spasms against me, leaving me coated in his seed. I curl up alongside him, kissing him tenderly and stroking his softening length against my stomach as I tell him how much I thoroughly enjoyed this.;;;;;;;;;;;;;x
LFSexytimesFemale11MaleRefusedCowgirlR0nin;Our bodies are drenched in sweat and I've been riding him for what feels like an eternity. The sensation of his hands gliding over my breasts nearly sends me over the edge and I can tell he's not going to last much longer either. "Just a little longer..." I insist, slamming myself down upon his rigid length a few more times until I reach my peak, my inner walls relentlessly gripping and massaging his entire length as I ride out the most pleasurable orgasm I've had in a long time. "I'm going to cum!" He tells me, fingers digging into my hips. "Give it to me! Cum for your [lf_sex_player.GetTitle]!" I insist, wanting nothing more than to feel him erupt deep inside me. Much to my surprise, he lifts me up and rolls me onto my back, kneeling over me and stroking his rigid length as his eyes rake over my naked body. Seconds later, >Partner name> erupts with a growl of pleasure, showering my neck and breasts in his seed and leaving me utterly drenched. Although he didn't listen, I can't bring myself to be angry with him. I decide to tease him, flashing him a sultry smile as I let my fingers trail along my cum-drenched flesh, hoping he'll be up for more.;;;;;;;;;;;;;x
#
#
LFSexytimesFemale11TTA;"Thank you, my love.";;;;;;;;;;;;;x
LFSexytimesFemale11TTB;"You are such an asshole, [lf_sex_partner.GetFirstName].";;;;;;;;;;;;;x
